id,name,category,style_type,color,pattern,warmth_index,gender
1,Navy Blue Double-Breasted Blazer,Outerwear,Formal,Navy,Solid,6,Male
2,Tailored Charcoal Trousers,Bottom,Formal,Dark Grey,Solid,5,Unisex
3,White Oxford Dress Shirt,Top,Formal,White,Solid,4,Unisex
4,Light Blue Linen Shirt,Top,Smart Casual,Light Blue,Solid,2,Unisex
5,Dark Wash Indigo Jeans,Bottom,Smart Casual,Indigo,Solid,6,Unisex
6,Polished Black Oxford Shoes,Footwear,Formal,Black,Solid,5,Male
7,Brown Leather Derby Shoes,Footwear,Formal,Brown,Solid,5,Male
8,Silk Tie (Deep Burgundy),Accessories,Formal,Burgundy,Solid,2,Male
9,Black Leather Belt,Accessories,Formal,Black,Solid,2,Male
10,Suede Chelsea Boots,Footwear,Smart Casual,Brown,Solid,6,Unisex
11,Graphic Cotton Tee,Top,Casual,White,Graphic,2,Unisex
12,Distressed Blue Jeans,Bottom,Casual,Light Blue,Solid,5,Unisex
13,White Leather Sneakers,Footwear,Casual,White,Solid,4,Unisex
14,Silver Minimalist Watch,Accessories,Smart Casual,Silver,Solid,1,Unisex
15,Classic Aviator Sunglasses,Accessories,Casual,Gold,Solid,1,Unisex
16,Heavy Wool Peacoat,Outerwear,Formal,Navy,Solid,9,Unisex
17,Beige Chinos,Bottom,Smart Casual,Beige,Solid,4,Male
18,Burgundy Turtleneck Sweater,Top,Smart Casual,Burgundy,Solid,7,Unisex
19,Checkered Flannel Shirt,Top,Casual,Red/Black,Checkered,6,Unisex
20,Olive Green Cargo Pants,Bottom,Casual,Olive,Solid,5,Unisex
21,Black Chelsea Boots,Footwear,Smart Casual,Black,Solid,6,Unisex
22,Waterproof Trench Coat,Outerwear,Smart Casual,Beige,Solid,6,Unisex
23,Grey Wool Trousers,Bottom,Formal,Grey,Solid,7,Unisex
24,Striped Seersucker Shirt,Top,Smart Casual,Blue/White,Striped,2,Male
25,Black Tuxedo Jacket,Outerwear,Formal,Black,Solid,5,Male
26,Black Dress Trousers,Bottom,Formal,Black,Solid,5,Male
27,Patent Leather Oxfords,Footwear,Formal,Black,Solid,4,Male
28,Black Bowtie,Accessories,Formal,Black,Solid,1,Male
29,Cashmere Scarf,Accessories,Smart Casual,Grey,Solid,8,Unisex
30,Leather Gloves,Accessories,Formal,Black,Solid,7,Unisex
31,Floral Short-Sleeve Button Up,Top,Casual,Multicolor,Floral,1,Male
32,Tan Linen Shorts,Bottom,Casual,Tan,Solid,1,Male
33,Canvas Boat Shoes,Footwear,Casual,Navy,Solid,2,Unisex
34,Woven Leather Belt,Accessories,Smart Casual,Brown,Solid,2,Male
35,Navy Puffer Jacket,Outerwear,Casual,Navy,Solid,9,Unisex
36,Grey Heather Hoodie,Top,Casual,Grey,Solid,6,Unisex
37,Black Joggers,Bottom,Casual,Black,Solid,5,Unisex
38,Athletic Running Shoes,Footwear,Athletic,Black,Solid,3,Unisex
39,Denim Trucker Jacket,Outerwear,Casual,Blue,Solid,5,Unisex
40,Brown Corduroy Trousers,Bottom,Smart Casual,Brown,Solid,6,Unisex
41,White V-Neck T-Shirt,Top,Casual,White,Solid,2,Unisex
42,Charcoal Overcoat,Outerwear,Formal,Charcoal,Solid,9,Unisex
43,Navy Blue Chinos,Bottom,Smart Casual,Navy,Solid,4,Male
44,Tan Suede Desert Boots,Footwear,Smart Casual,Tan,Solid,5,Unisex
